stimFile,Valence
stims/001.i.jpg,Practice
stims/002.i.jpg,Practice
stims/003.i.jpg,Practice
stims/004.i.jpg,Practice
stims/005.i.jpg,Practice
stims/006.i.jpg,Practice
stims/007.i.jpg,Practice
stims/008.i.jpg,Practice
stims/009.i.jpg,Practice
stims/010.i.jpg,Practice
stims/011.i.jpg,Practice
stims/012.i.jpg,Practice
stims/013.i.jpg,Practice
stims/014.i.jpg,Practice
stims/015.i.jpg,Practice
stims/016.i.jpg,Practice
stims/017.i.jpg,Practice
stims/018.i.jpg,Practice
stims/019.i.jpg,Practice
stims/020.i.jpg,Practice
stims/021.i.jpg,Practice
stims/022.i.jpg,Practice
