stimFile,Valence
stims/1720.jpg,Positive
stims/2240.jpg,Positive
stims/4531.jpg,Positive
stims/4534.jpg,Positive
stims/4608.jpg,Positive
stims/4611.jpg,Positive
stims/4640.jpg,Positive
stims/4651.jpg,Positive
stims/4653.jpg,Positive
stims/4656.jpg,Positive
stims/5270.jpg,Positive
stims/5622.jpg,Positive
stims/5628.jpg,Positive
stims/7230.jpg,Positive
stims/7330.jpg,Positive
stims/7340.jpg,Positive
stims/7350.jpg,Positive
stims/7351.jpg,Positive
stims/7402.jpg,Positive
stims/7430.jpg,Positive
stims/7450.jpg,Positive
stims/7460.jpg,Positive
stims/7475.jpg,Positive
stims/7480.jpg,Positive
stims/7481.jpg,Positive
stims/8041.jpg,Positive
stims/8090.jpg,Positive
stims/8200.jpg,Positive
stims/8380.jpg,Positive
stims/8470.jpg,Positive
stims/8500.jpg,Positive
stims/8502.jpg,Positive
stims/8540.jpg,Positive
