stimFile,Valence,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,session,participant,date,expName,frameRate,
,,,,,,t,1.7205508620008914,,,001,,2018_Sep_10_1152,TBPMnBack,60.1514139816899,
,,,,,,,,t,0.8857348319997982,001,,2018_Sep_10_1152,TBPMnBack,60.1514139816899,
stims/006.i.jpg,Practice,0,0,0,5,,,,,001,,2018_Sep_10_1152,TBPMnBack,60.1514139816899,
stims/012.i.jpg,Practice,0,1,1,11,,,,,001,,2018_Sep_10_1152,TBPMnBack,60.1514139816899,
stims/011.i.jpg,Practice,0,2,2,10,,,,,001,,2018_Sep_10_1152,TBPMnBack,60.1514139816899,
stims/003.i.jpg,Practice,0,3,3,2,,,,,001,,2018_Sep_10_1152,TBPMnBack,60.1514139816899,
stims/017.i.jpg,Practice,0,4,4,16,,,,,001,,2018_Sep_10_1152,TBPMnBack,60.1514139816899,
stims/015.i.jpg,Practice,0,5,5,14,,,,,001,,2018_Sep_10_1152,TBPMnBack,60.1514139816899,
stims/014.i.jpg,Practice,0,6,6,13,,,,,001,,2018_Sep_10_1152,TBPMnBack,60.1514139816899,
stims/020.i.jpg,Practice,0,7,7,19,,,,,001,,2018_Sep_10_1152,TBPMnBack,60.1514139816899,
