condsFile,readyMsg,stimFile,Valence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,session,participant,date,expName,frameRate,
,,,,,,,,,,,,t,1.4633381950006878,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/022.i.jpg,Practice,0,0,0,3,0,0,0,21,,,t,0.5525783440025407,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/021.i.jpg,Practice,0,0,0,3,0,1,1,20,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/002.i.jpg,Practice,0,0,0,3,0,2,2,1,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/013.i.jpg,Practice,0,0,0,3,0,3,3,12,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/020.i.jpg,Practice,0,0,0,3,0,4,4,19,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/007.i.jpg,Practice,0,0,0,3,0,5,5,6,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/012.i.jpg,Practice,0,0,0,3,0,6,6,11,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/001.i.jpg,Practice,0,0,0,3,0,7,7,0,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/019.i.jpg,Practice,0,0,0,3,0,8,8,18,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/011.i.jpg,Practice,0,0,0,3,0,9,9,10,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/014.i.jpg,Practice,0,0,0,3,0,10,10,13,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/005.i.jpg,Practice,0,0,0,3,0,11,11,4,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/009.i.jpg,Practice,0,0,0,3,0,12,12,8,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/003.i.jpg,Practice,0,0,0,3,0,13,13,2,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/017.i.jpg,Practice,0,0,0,3,0,14,14,16,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/008.i.jpg,Practice,0,0,0,3,0,15,15,7,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/015.i.jpg,Practice,0,0,0,3,0,16,16,14,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/018.i.jpg,Practice,0,0,0,3,0,17,17,17,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/006.i.jpg,Practice,0,0,0,3,0,18,18,5,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/010.i.jpg,Practice,0,0,0,3,0,19,19,9,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/004.i.jpg,Practice,0,0,0,3,0,20,20,3,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,stims/016.i.jpg,Practice,0,0,0,3,0,21,21,15,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
practiceBlock.csv,Pronto,,,0,0,0,3,,,,,,,,,001,,2018_Sep_10_1554,TBPMnBack,60.125783498829314,
