condsFile,readyMsg,stimFile,Valence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,session,participant,date,expName,frameRate,
,,,,,,,,,,,,t,11.692564619002951,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/012.i.jpg,Practice,0,0,0,3,0,0,0,11,,,t,0.5200381200011179,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/007.i.jpg,Practice,0,0,0,3,0,1,1,6,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/001.i.jpg,Practice,0,0,0,3,0,2,2,0,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/003.i.jpg,Practice,0,0,0,3,0,3,3,2,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/014.i.jpg,Practice,0,0,0,3,0,4,4,13,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/009.i.jpg,Practice,0,0,0,3,0,5,5,8,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/015.i.jpg,Practice,0,0,0,3,0,6,6,14,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/004.i.jpg,Practice,0,0,0,3,0,7,7,3,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/021.i.jpg,Practice,0,0,0,3,0,8,8,20,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/006.i.jpg,Practice,0,0,0,3,0,9,9,5,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/020.i.jpg,Practice,0,0,0,3,0,10,10,19,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/019.i.jpg,Practice,0,0,0,3,0,11,11,18,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/018.i.jpg,Practice,0,0,0,3,0,12,12,17,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/005.i.jpg,Practice,0,0,0,3,0,13,13,4,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/010.i.jpg,Practice,0,0,0,3,0,14,14,9,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/013.i.jpg,Practice,0,0,0,3,0,15,15,12,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/016.i.jpg,Practice,0,0,0,3,0,16,16,15,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/022.i.jpg,Practice,0,0,0,3,0,17,17,21,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/011.i.jpg,Practice,0,0,0,3,0,18,18,10,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/002.i.jpg,Practice,0,0,0,3,0,19,19,1,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/008.i.jpg,Practice,0,0,0,3,0,20,20,7,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,stims/017.i.jpg,Practice,0,0,0,3,0,21,21,16,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
practiceBlock.csv,Pronto,,,0,0,0,3,,,,,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
positiveBlock.csv,Pronto,stims/8200.jpg,Positive,0,1,1,2,0,0,0,27,,,t,11.50640396399831,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
positiveBlock.csv,Pronto,stims/7351.jpg,Positive,0,1,1,2,0,1,1,17,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
positiveBlock.csv,Pronto,stims/8470.jpg,Positive,0,1,1,2,0,2,2,29,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
positiveBlock.csv,Pronto,stims/8041.jpg,Positive,0,1,1,2,0,3,3,25,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
positiveBlock.csv,Pronto,stims/4531.jpg,Positive,0,1,1,2,0,4,4,2,,,,,001,,2018_Sep_10_1551,TBPMnBack,59.841367356884525,
